,datetime,datetimeEpoch,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,pressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,sunrise,sunriseEpoch,sunset,sunsetEpoch,moonphase,conditions,description,icon,source,ID
5250,2018-03-07,1520402400,64.0,42.3,51.9,64.0,38.8,50.9,20.8,31.7,0.0,0.0,0.0,,0.0,0.0,,8.0,112.6,1023.8,2.8,9.9,243.6,20.9,9.0,06:53:35,1520427215,18:38:05,1520469485,0.66,Clear,Clear conditions throughout the day.,clear-day,obs,4252
5251,2015-12-02,1449043200,77.2,41.6,57.8,77.2,40.1,57.4,13.6,21.2,0.01,100.0,4.17,['rain'],0.0,0.0,,7.0,61.5,1019.6,14.4,9.9,151.7,13.1,6.0,06:37:28,1449067048,16:39:30,1449103170,0.71,Rain,Clear conditions throughout the day with early morning rain.,rain,obs,1050
5252,2015-10-30,1446181200,58.9,33.1,45.9,58.9,33.1,45.9,37.2,74.4,0.0,0.0,0.0,,0.0,0.0,,6.4,45.1,1020.9,1.8,9.2,184.9,16.0,7.0,07:02:46,1446206566,17:46:55,1446245215,0.56,Clear,Clear conditions throughout the day.,clear-day,obs,966
5253,2020-01-30,1580360400,37.6,29.7,33.7,37.6,27.3,33.0,24.8,70.1,0.0,0.0,0.0,,0.0,0.0,,5.1,75.4,1022.7,78.8,9.9,50.8,4.2,2.0,07:35:58,1580387758,17:44:55,1580424295,0.13,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,obs,5443
5254,2017-02-24,1487912400,74.8,54.9,64.6,74.8,54.9,64.6,53.5,68.8,0.0,0.0,0.0,,0.0,0.0,29.8,19.1,176.3,1011.1,17.9,9.9,184.7,15.9,7.0,06:44:14,1487936654,17:49:55,1487976595,0.98,Clear,Clear conditions throughout the day.,clear-day,obs,2386
5255,2016-10-07,1475816400,85.9,62.7,72.3,85.5,62.7,72.4,60.2,68.3,0.0,0.0,0.0,,0.0,0.0,26.4,14.3,242.3,1018.4,31.0,9.9,172.3,15.0,6.0,07:09:50,1475842190,18:45:29,1475883929,0.17,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,obs,1953
5256,2020-09-05,1599278400,80.0,56.0,65.7,80.4,56.0,65.7,52.3,63.5,0.0,0.0,0.0,,0.0,0.0,34.4,23.0,231.0,1021.7,33.8,9.9,157.6,13.6,5.0,07:11:02,1599304262,20:07:22,1599350842,0.55,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,obs,6146
5257,2016-07-04,1467604800,73.7,67.0,70.1,73.7,67.0,70.1,67.5,91.5,0.22,100.0,33.33,['rain'],0.0,0.0,,13.0,164.5,1017.7,95.1,9.0,124.0,10.6,5.0,05:47:55,1467625675,20:36:23,1467678983,0.0,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,obs,1683
5258,2018-01-23,1516683600,71.1,59.0,67.5,71.1,59.0,67.5,63.8,88.3,0.03,100.0,8.33,['rain'],0.0,0.0,19.7,12.7,206.4,1017.3,68.2,8.9,75.7,6.5,3.0,07:20:12,1516710012,18:04:22,1516748662,0.18,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,obs,3344
5259,2019-02-02,1549094400,60.8,52.0,55.9,60.8,52.0,55.9,47.5,74.1,0.36,100.0,37.5,['rain'],0.0,0.0,39.8,28.1,150.1,999.7,73.1,9.3,237.8,20.5,4.0,07:09:07,1549120147,17:29:36,1549157376,0.98,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,obs,4481
