longitude,latitude
-118.438,34.23
-80.453,25.727
-118.267,34.132
-92.445,31.268
-103.802,44.305
-84.426,43.886
-84.419,37.386
-117.365,34.211
-87.388,36.077
-89.749,30.284
-88.212,31.623
-78.875,38.48
-85.791,39.522
-96.775,32.895
-121.844,36.622
-121.844,36.622
-81.424,29.184
-81.844,28.076
-95.632,33.657
-119.207,36.295
-86.496,30.523
-122.389,40.481
-115.14,36.231
-111.884,40.742
-96.637,33.178
-76.83,39.468
-81.271,36.718
-75.573,39.745
-80.374,25.584
-104.694,38.704
-93.134,44.923
-81.509,41.099
-112.589,34.416
-87.717,41.897
-91.125,30.507
-103.367,32.951
-118.259,34.025
-85.267,34.961
-97.278,33.167
-117.066,32.562
-92.419,45.347
-103.214,44.072
-93.296,45.872
-81.214,37.826
-110.233,31.467
-122.862,45.493
-101.883,35.057
-117.403,34.097
-118.466,34.187
-87.62,34.789
-87.713,41.867
-97.202,32.817
-74.269,40.573
-81.436,41.042
-97.413,35.45
-121.894,36.603
-80.109,26.668
-76.88,39.195
-116.819,33.477
-70.889,42.564
-72.419,41.285
-117.603,34.401
-85.244,43.446
-88.093,41.805
-117.285,34.108
-93.229,30.174
-82.308,34.949
-102.442,31.867
-98.422,34.599
-90.45,31.591
-84.76,34.178
-87.415,39.413
-116.235,33.718
-121.844,36.613
-86.955,31.434
-80.413,25.507
-82.864,39.922
-115.259,36.129
-81.71,41.421
-122.187,47.707
-122.415,37.779
-95.465,29.849
-117.916,34.031
-83.659,34.033
-88.41,33.511
-95.363,29.786
-120.92,37.667
-76.749,39.973
-80.082,26.758
-119.769,36.803
-118.281,33.935
-85.578,38.227
-117.159,32.714
-107.166,33.251
-90.031,30.409
-91.713,41.97
-115.496,32.665
-119.462,36.351
-85.63,42.857
-93.746,32.518
-121.337,38.639
-82.86,37.284
-117.34,34.019
-81.943,26.739
-116.464,33.809
-82.044,39.898
-88.095,42.583
-151.283,60.287
-74.08,41.747
-84.601,34.5
-77.389,39.408
-77.027,38.983
-82.516,28.03
-81.111,32.061
-117.224,32.726
-88.438,34.039
-81.566,30.318
-122.998,44.885
-82.863,39.922
-87.552,35.551
-85.365,36.669
-96.628,32.81
-95.489,29.976
-95.251,35.798
-95.495,29.984
-83.031,29.675
-104.818,38.838
-85.36,32.61
-94.376,44.891
-124.155,40.806
-116.407,44.813
-76.968,38.855
-92.05,31.125
-93.256,37.239
-95.356,29.733
-120.425,37.365
-117.239,32.797
-79.941,39.634
-96.431,36.409
-90.341,38.538
-80.02,32.964
-122.698,45.53
-115.137,36.038
-80.04,34.981
-81.979,34.949
-99.453,27.603
-80.675,38.592
-121.914,37.255
-118.512,34.212
-121.848,39.717
-104.832,39.958
-112.778,45.098
-104.878,38.909
-106.683,35.062
-122.421,37.748
-81.734,33.57
-76.677,39.343
-122.053,37.384
-88.874,35.957
-117.511,34.029
-81.395,32.172
-117.4,34.005
-122.166,37.754
-75.179,40.028
-93.301,44.992
-78.954,35.259
-84.895,34.779
-95.99,31.258
-80.397,25.576
-81.052,33.976
-95.434,29.904
-84.723,31.432
-74.357,39.611
-97.839,32.638
-80.252,25.897
-86.411,42.09
-82.555,27.448
-80.352,27.438
-76.924,38.895
-117.027,34.898
-84.742,33.918
-117.421,34.095
-96.512,33.853
-117.436,34.063
-119.796,39.501
-105.017,39.711
-83.066,39.947
-97.402,27.726
-93.252,45.041
-75.097,39.903
-115.137,36.122
-93.337,37.24
-109.293,34.116
-93.278,37.05
-121.624,39.752
-93.501,36.532
-96.546,32.642
-84.571,40.55
-94.578,39.758
-112.298,33.593
-119.021,35.375
-96.623,40.842
-104.776,39.704
-84.387,33.779
-103.163,31.74
-68.817,44.789
-118.082,33.917
-105.037,39.755
-117.29,34.108
-117.248,34.077
-122.397,37.721
-98.585,29.185
-107.734,32.256
-102.074,41.063
-80.007,40.43
-111.673,33.466
-96.955,32.807
-88.466,44.187
-90.239,38.811
-116.251,33.698
-80.141,25.788
-122.332,47.606
-81.498,41.541
-105.752,41.322
-73.879,40.924
-81.735,41.486
-86.224,37.567
-95.317,36.308
-86.198,39.741
-82.284,34.917
-121.791,36.674
-116.971,33.729
-110.875,32.309
-86.028,39.827
-85.307,34.989
-118.209,33.917
-97.488,34.233
-75.182,40.991
-117.322,34.108
-104.861,39.726
-97.101,32.728
-97.133,33.215
-122.762,47.002
-105.051,39.777
-89.905,30.038
-88.845,35.852
-115.057,36.244
-118.189,33.803
-121.573,36.995
-115.09,36.229
-81.159,37.895
-76.372,39.304
-81.202,35.38
-119.051,34.219
-81.34,41.163
-120.999,37.639
-83.462,41.618
-84.092,35.908
-105.573,36.407
-118.307,33.843
-118.045,34.572
-101.855,35.207
-116.971,33.724
-84.707,33.755
-91.864,30.239
-75.381,41.569
-81.19,28.887
-104.885,39.733
-121.29,39.189
-84.546,39.095
-73.214,44.483
-82.384,28.466
-106.566,35.076
-83.194,42.351
-91.722,32.166
-90.972,30.694
-84.578,42.673
-119.006,36.069
-80.851,35.352
-122.156,37.448
-112.062,33.68
-87.744,41.893
-87.744,41.893
-116.94,43.62
-88.643,30.889
-111.922,33.381
-91.613,29.849
-76.596,36.727
-121.022,37.09
-118.056,34.073
-119.812,36.75
-107.216,41.799
-115.272,36.133
-117.16,32.755
-100.45,32.235
-96.711,43.547
-110.573,45.656
-80.885,35.218
-93.21,30.494
-97.52,35.512
-122.332,47.606
-82.337,36.32
-80.913,35.242
-122.368,40.613
-120.947,37.584
-75.31,39.929
-87.834,42.456
-105.918,33.683
-87.18,37.787
-88.489,42.609
-84.677,34.133
-122.669,46.16
-75.959,39.718
-118.449,34.29
-84.585,39.118
-105.016,39.755
-77.034,40.398
-149.898,61.192
-76.188,36.856
-83.558,35.837
-120.954,47.197
